 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2008-2009
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"..Junho/2008";6099;4478;14578;2295;43375;2699;8466;27734;18443;41628;14013;18775;40443;16056;8590;68707;93733;15480;55039;186358;62477;32309;60888;13383;15085;28488;15376;914995
"..Julho/2008";7080;4083;14936;2228;42102;2674;7590;27433;19004;41498;13694;19028;42719;14778;8695;75935;95032;15071;55119;191029;65374;32942;64579;13603;15150;28751;15099;935226
"..Agosto/2008";7332;3823;14413;2298;42623;2931;8346;27837;19154;39793;13254;18765;42221;14650;8209;75125;93469;15659;54069;188355;61044;30849;61252;12686;14483;30948;15648;919236
"..Setembro/2008";6875;4182;13346;2116;43120;2852;8254;28582;19262;40935;13401;18602;41135;14639;7787;74477;95453;15659;53630;190610;63104;32316;61948;13317;14952;32218;16040;928812
"..Outubro/2008";6907;4141;12602;2205;41511;3017;8491;27068;19045;39462;12600;17371;40687;14274;7743;71007;97086;15998;53528;192319;63403;32539;62243;13340;14449;29253;15609;917898
"..Novembro/2008";6699;3928;12137;2122;39500;2897;7653;25929;18080;36021;12100;16705;38112;13859;7160;64074;89094;14409;47397;173541;57897;29345;58598;12329;13244;25739;15052;843621
"..Dezembro/2008";5864;4060;12050;1986;38044;3018;7512;23784;16898;35643;11609;16177;35984;13382;6609;61401;86945;14133;45821;164886;55192;29185;55442;11137;12567;24626;14155;808110
"2009";91565;43490;138511;27153;491007;34431;92871;337567;225262;463744;155449;222333;462482;168392;86573;836062;1050787;175914;596954;2133087;713255;362947;680947;145357;166321;345418;173019;10420898
"..Janeiro/2009";7062;4053;12585;2224;42604;3110;8202;28154;19666;38793;11039;17425;39522;14142;7333;67406;90567;14931;50676;173447;58061;30670;59078;11884;13878;28061;14664;869237
"..Fevereiro/2009";6923;3781;12168;2142;39240;2687;7826;26530;17484;36857;11377;16646;34892;12553;6962;63544;84889;13878;45913;167687;56829;28679;52109;11519;12783;26733;14029;816660
"..Março/2009";9130;4519;13891;2525;46754;3299;9172;32689;21947;46459;13923;21219;45562;16373;8932;80844;100890;17414;58203;203675;69063;34217;63522;14521;16552;33745;17386;1006426
"..Abril/2009";8414;4274;12228;2256;45663;3236;8587;30362;20394;43941;12981;20330;42262;15566;8149;75632;92884;16350;53518;190737;62911;31468;59407;13453;15968;31661;16146;938778
"..Maio/2009";8403;4597;12526;2372;44842;3407;8559;30650;20794;43101;15287;21292;44141;15761;8665;76235;95601;16735;56563;196032;65776;33148;61790;13163;15873;31135;16175;962623
"..Junho/2009";7383;3933;13409;2370;43580;3118;8358;29596;20038;41228;14056;18771;40907;14411;7651;70331;92277;16038;55169;191089;64052;33285;61258;12980;14763;28794;15310;924155
"..Julho/2009";7883;3784;13490;2646;44142;3085;7957;29855;20593;42048;14779;20219;42051;15377;8039;74655;95650;16447;57262;196718;67884;34568;66759;13721;14770;29830;15667;959879
"..Agosto/2009";8154;3018;13704;2609;45945;3354;8380;30659;20026;41283;14826;20202;42913;14542;7956;75574;94881;16837;54207;198843;66419;35163;62225;14373;15541;31959;15796;959389
"..Setembro/2009";7984;1921;13038;2534;45252;3197;8132;31532;18988;39806;14816;19656;41950;14651;7551;74521;94522;16091;52420;194821;64072;32675;60124;13420;14505;30978;15628;934785
"..Outubro/2009";8235;3912;10455;2312;41540;2809;7994;30419;17893;37580;14239;18547;40335;14859;6495;71200;86281;14485;48185;182308;60312;31205;59323;11898;13186;28694;13880;878581
"..Novembro/2009";7148;3480;8368;1932;35074;2043;6595;24104;16437;32035;11530;16852;33795;12822;5496;65127;75828;11617;40706;152483;50676;25931;49690;9853;12094;26856;12420;750992
"..Dezembro/2009";4846;2218;2649;1231;16371;1086;3109;13017;11002;20613;6596;11174;14152;7335;3344;40993;46517;5091;24132;85247;27200;11938;25662;4572;6408;16972;5918;419393
"Total";167029;94687;317584;54748;1036083;70304;197850;687860;463176;975155;327240;456616;988858;355493;191524;1705456;2245573;371274;1269052;4435163;1494038;761170;1444525;308958;352269;726461;374266;21872412
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
