 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2010-2012
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"..Fevereiro/2012";7953;3891;12188;2556;40570;2972;8822;31252;17038;35469;13012;15947;39840;13465;7311;66583;90723;16552;48496;185540;59159;31893;54893;12835;13941;27870;14774;875545
"..Março/2012";8570;4580;14762;2811;45619;3335;9972;36262;18556;40890;15375;18217;47389;14685;8232;78708;103429;18976;57438;211485;67362;35653;62888;14344;16172;30699;16407;1002816
"..Abril/2012";8422;4266;14168;2620;42935;3193;9762;33917;18273;39416;13718;17200;44644;13404;7702;71740;96660;17224;53388;195984;63476;33820;58759;13190;15624;28945;15850;938300
"..Maio/2012";8605;4374;14677;3019;43561;3310;9426;35671;19970;41397;14333;18085;47951;14480;8391;76358;104476;18275;58528;211133;69054;37703;64642;14494;16457;28566;16604;1003540
"..Junho/2012";8010;4388;13942;2655;38974;3019;8641;32598;18176;37221;13738;16039;43830;13709;7363;70936;96914;17504;53766;193117;64125;34799;61756;13281;15125;27102;15540;926268
"..Julho/2012";7819;4724;14254;2529;37408;3342;8407;32815;18298;36632;14783;17009;45405;14503;7392;74568;100370;18380;52893;199938;66265;35505;64914;13278;15964;26091;15736;949222
"..Agosto/2012";7880;4443;14198;2660;38620;3343;8851;33904;18594;37310;14258;16822;46839;13886;7538;73694;101160;18380;52893;204253;67645;36537;63871;13604;15903;28909;16195;962190
"..Setembro/2012";7321;4485;12872;2338;39379;3135;8494;32476;17861;35005;12059;15525;42961;13643;6679;68576;94764;17337;48910;189132;61193;33476;55216;12389;14805;27810;14961;892802
"..Outubro/2012";7448;3774;12735;883;35908;3122;7221;29759;16750;32035;12433;14941;41486;13082;6414;64544;91539;17232;48327;191877;62235;31077;54503;10207;14973;26514;13225;864244
"..Novembro/2012";6264;2870;9299;890;29995;2652;6040;23933;14445;26579;10335;13983;34426;11367;5396;53998;73279;13219;37511;154366;50379;22479;41861;6778;11632;22000;7862;693838
"..Dezembro/2012";3720;1855;3941;535;16511;1047;3753;14680;9675;16340;5930;9660;18457;7028;3345;31951;44185;7075;22566;93378;27509;9452;19889;3143;6834;14222;3908;400589
"Total";293590;152932;492574;90550;1527567;111981;316787;1194026;679618;1417430;506648;645402;1572298;524914;275921;2607007;3436990;618734;1953935;7048369;2306805;1190542;2144912;474475;537668;1057191;553259;33732125
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
