 Procedimentos hospitalares do SUS - por local de interna��o - Brasil
Interna��es por Ano/m�s atendimento e Unidade da Federa��o
Per�odo:2013-2015
"Ano/m�s atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"..Outubro/2012";500;873;1211;1087;4002;204;1111;1361;832;4474;691;813;2341;320;1388;4104;8892;1573;4635;12271;4401;4668;7760;2910;873;1269;3197;77761
"..Novembro/2012";1341;1531;4011;1629;8606;484;1876;4195;2378;8458;2045;1410;7363;1727;1597;9785;17312;3909;8924;27079;10047;9467;15225;5474;2621;2473;6405;167372
"..Dezembro/2012";3598;2153;8348;1754;19413;1845;4272;11327;6830;15633;5413;4385;20712;5504;3127;26853;44535;9604;22992;79074;28201;19007;32201;8197;7148;9224;10653;412003
"2013";107352;51771;162915;33027;493956;38352;105775;410481;219241;465864;165815;198151;531457;167032;88506;806211;1179980;210511;623009;2330050;752746;417714;737424;163025;182787;349089;187197;11179438
"..Janeiro/2013";8123;4430;15031;2597;41496;3123;8404;34606;18356;37588;12660;15533;43749;13493;7082;64942;94222;16620;52359;191120;61064;33084;60471;13165;15151;28001;15584;912054
"..Fevereiro/2013";8072;3867;12385;2314;38305;2955;8161;30860;16855;34693;11846;14640;38915;11779;6535;59229;87203;15323;45907;176079;56383;30297;52406;12453;13818;27249;14411;832940
"..Mar�o/2013";9354;4569;13776;2779;43818;3278;9224;34829;18652;39317;14854;17328;44108;14131;7745;68672;99854;17944;53090;198950;64057;34460;59976;14291;16113;31102;16515;952786
"..Abril/2013";9352;4513;13867;2710;44692;3422;9186;35371;20031;41649;15429;17730;45814;14460;8086;69299;104530;18523;54495;208350;67274;36019;62734;14361;16474;31633;17238;987242
"..Maio/2013";8818;4266;14392;2879;43359;3202;9273;35497;19873;42672;15441;18607;47961;15311;7781;70479;102907;18208;55109;202052;64191;35428;61799;14309;15838;30203;16483;976338
"..Junho/2013";8400;4068;13983;3103;40617;3001;8835;32593;18619;37974;14173;17180;44152;14612;7401;67284;99610;17091;53531;195258;63385;35313;61952;13552;14996;28486;15579;934748
"..Julho/2013";8895;4358;13753;2902;39326;3128;8638;34185;18527;40017;14652;17469;45097;15321;7471;70497;101317;18030;54565;196602;66070;36813;67192;14087;15069;27888;16034;957903
"..Agosto/2013";9254;4402;13523;2867;40702;3271;8772;34973;18003;39778;13868;16934;46107;14084;7516;69085;100595;18058;53476;201655;65519;36315;64191;13468;15503;29666;16038;957623
"..Setembro/2013";8940;4311;13174;2827;41392;3247;9105;34829;18259;39375;13735;16134;44928;13937;7443;68408;99156;17842;52885;196146;62827;35544;62106;13737;14929;29565;15563;940344
"..Outubro/2013";9568;4631;13560;2830;41766;3510;9295;36080;18400;39318;14261;16577;46722;14271;7419;70674;102114;18947;52709;202059;65479;37970;66348;13937;15695;29875;15904;969919
"..Novembro/2013";9482;4299;13226;2650;39842;3172;8605;33898;17181;37454;12679;15369;43007;13334;7200;65394;95122;17439;48653;185219;60413;34965;60927;13170;15015;28490;13951;900156
"..Dezembro/2013";9094;4057;12245;2569;38641;3043;8277;32760;16485;36029;12217;14650;40897;12299;6827;62248;93350;16486;46230;176560;56084;31506;57322;12495;14186;26931;13897;857385
"2014";116967;52201;153335;32193;492648;36036;102271;417117;210073;481221;159202;192943;541952;160673;89314;824962;1223704;222950;640564;2375350;749760;435302;763362;162380;186658;351106;179459;11353703
"..Janeiro/2014";9469;4169;12564;2724;41269;3187;8611;35660;18572;40498;12826;15637;43482;12720;7479;67515;100199;17946;53322;195434;60380;34818;63431;13048;14926;28851;14731;933468
"..Fevereiro/2014";8764;4054;11127;2298;39583;2974;8109;33234;17038;38018;12552;14765;41188;12117;7114;63214;96330;17280;47782;187957;58769;33348;57961;12332;14431;27349;14553;884241
"..Mar�o/2014";9715;4381;12367;2750;43563;3145;8805;36398;18200;40552;13455;16338;44613;12977;7432;68339;101693;18123;50874;200002;62324;35662;62697;13768;16263;29595;15985;950016
"..Abril/2014";9807;4632;12653;2630;42443;3259;8781;35738;18000;41531;14079;16333;45495;13161;7390;68963;104762;18508;50826;202146;62253;35787;62347;13847;15836;31127;15984;958318
"..Maio/2014";10377;4667;12928;2884;43213;3136;8849;35727;18635;42888;14671;17266;47502;14150;7781;72812;108416;19263;54672;209380;65814;37523;65723;14497;16405;31264;16208;996651
"..Junho/2014";9758;4502;12320;2489;39776;2652;8745;33879;17187;39759;13179;15813;44120;13254;6991;65267;100608;18024;52537;196338;61720;36734;63142;13587;15718;28599;14863;931561
"..Julho/2014";9830;4462;12944;2870;41218;2969;8361;35399;17368;41223;13526;16693;47266;14165;7039;71900;103715;19130;56425;201126;65506;38715;67770;13825;15827;28307;15397;972976
"..Agosto/2014";10099;4339;12999;2796;41455;3093;8863;35744;17514;40626;13156;16569;47346;13936;7502;72058;103692;19505;57156;202970;63928;37794;65848;14158;15799;29743;14949;973637
"..Setembro/2014";10146;4024;13696;2788;41701;3194;8809;35563;18337;40679;13366;16869;46956;14177;8106;72319;104571;19409;57158;203741;64674;37913;65575;13591;15939;30722;14903;978926
"..Outubro/2014";10043;4540;13899;2742;40646;3181;8843;34926;17401;40697;13414;16719;46933;14147;7990;73288;104760;19178;55701;206027;66459;38345;67258;14088;16328;30137;14852;982542
"..Novembro/2014";9769;4347;13206;2704;40219;2725;7975;33229;16408;38049;12712;15505;44500;13372;7735;66742;99197;18486;52046;188775;60558;35773;62363;12931;15028;27841;13938;916133
"..Dezembro/2014";9190;4084;12632;2518;37562;2521;7520;31620;15413;36701;12266;14436;42551;12497;6755;62545;95761;18098;52065;181454;57375;32890;59247;12708;14158;27571;13096;875234
"2015";105005;44880;158598;29297;441577;32782;75483;403298;199529;445994;148181;170755;504260;154908;88445;784015;1131151;212018;631510;2264817;714834;423698;712324;147869;177014;335431;150195;10687868
"..Janeiro/2015";9093;4034;13860;2756;38735;2594;7077;32896;16652;37878;12112;14526;43102;12300;7437;66232;96307;18451;55312;195218;58124;34341;62390;12887;14347;28798;13379;910838
"..Fevereiro/2015";8639;3705;12955;2411;35880;2471;6763;31971;15180;34735;11206;13011;39968;11222;7137;59737;89652;16889;50179;181722;55879;33013;55800;12255;13745;27522;12577;846224
"..Mar�o/2015";9954;4142;15015;2730;42959;3019;7582;39622;18345;42330;14285;16377;48769;14600;8778;75231;110437;21029;60327;217964;67768;39243;69235;15252;16725;32542;15473;1029733
"..Abril/2015";9413;4071;14308;2793;41190;2959;7893;37389;18872;42121;14177;16055;46408;13873;8410;69063;103617;18965;56218;204396;63979;36843;64832;14286;16198;31375;15838;975542
"..Maio/2015";9914;4091;15143;3062;41785;3062;7517;36215;18417;42559;14252;16214;48317;14738;9093;72068;106205;20061;60538;208657;63993;39179;65740;14433;16560;31753;15510;999076
"..Junho/2015";9277;4166;14908;2985;39509;3087;7282;34797;16972;40835;13850;15008;44847;13946;7666;67800;101740;19821;58549;200774;64384;38669;65222;13953;15310;29440;14265;959062
"..Julho/2015";9370;4041;14881;3144;38557;3033;6618;35735;17129;40934;14307;15703;46327;14641;8247;72445;100862;20667;59027;198805;66434;40134;66400;13632;15644;28801;13966;969484
"..Agosto/2015";9474;4111;14462;3165;39521;3087;7027;35950;17722;40429;13671;15613;45590;13959;8426;70724;99967;19926;56648;200842;66013;39297;64238;13719;16043;29025;13829;962478
"..Setembro/2015";9313;4092;14214;2948;38471;3071;6634;34977;17604;38922;13074;15267;42930;13672;7944;69584;99287;18550;54913;195356;63135;38584;61163;13037;15722;29004;13008;934476
"..Outubro/2015";8993;3581;13341;1727;35861;2937;5454;34539;16992;36971;11479;14559;41370;13462;6694;66740;94014;17956;51285;185311;59748;36130;59068;11261;14994;27947;9933;882347
"..Novembro/2015";7172;2804;10093;1201;30434;2348;3802;28916;15307;30344;9456;11192;36325;11419;5206;58802;80287;13403;43556;167477;53268;31726;51095;8928;13246;24188;8117;760112
"..Dezembro/2015";4393;2042;5418;375;18675;1114;1834;20291;10337;17936;6312;7230;20307;7076;3407;35589;48776;6300;24958;108295;32109;16539;27141;4226;8480;15036;4300;458496
"Total";334946;153445;488479;99047;1461150;109716;290798;1247932;639034;1422950;481415;568600;1608480;490212;272788;2456883;3606818;660751;1932938;7091741;2260638;1310287;2271991;490343;557298;1048854;537629;33895163
 Fonte: Minist�rio da Sa�de - Sistema de Informa��es Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos �ltimos seis meses, sujeitos a  atualiza��o.
 A partir do processamento de junho de 2012, houve mudan�a na classifica��o da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      At� maio de 2012 estas informa��es est�o dispon�veis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, est�o dispon�veis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jur�dica" e "Esfera Jur�dica".
      A partir de novembro de 2015, est�o dispon�veis como "Natureza Jur�dica" e "Esfera Jur�dica".
      
 
