 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2016-2018
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"..Abril/2016";9819;3843;14597;2766;40891;2686;6999;35940;18322;41124;13762;15284;44408;14488;8322;69532;101677;19711;55631;203917;67457;39367;62435;14074;16690;28699;15722;968163
"..Maio/2016";10085;3920;14716;2929;40156;2777;6951;36457;19068;42010;14043;15794;46196;15040;8609;70631;103987;21110;56380;207730;69383;40507;65098;14636;17145;28871;16453;990682
"..Junho/2016";9687;3993;14403;3238;38650;2965;6483;34783;18409;40621;13766;14560;44857;14371;8187;65552;101103;19796;55132;205410;69291;40894;64884;14181;16279;27737;16227;965459
"..Julho/2016";9171;4088;13866;3282;38226;2702;6428;33183;18178;39544;13469;14741;45090;15073;8292;68678;98709;19765;55078;199804;68147;39950;64738;13521;15653;26351;15782;951509
"..Agosto/2016";9362;4082;14005;3604;41194;2791;6288;35806;18793;40381;12852;15164;47134;15326;7790;71733;101147;20306;52859;206680;69578;41147;67086;13970;16715;28309;17019;981121
"..Setembro/2016";9205;3776;13060;3104;39850;2670;6029;33652;18089;38955;11619;14424;43910;14173;8136;66690;96949;19159;51224;196547;66417;38965;61981;13878;16225;27524;16000;932211
"..Outubro/2016";9338;3764;13337;3269;37542;2601;5973;31865;17825;38076;12594;14139;43447;13667;7700;64622;95592;19476;50081;197800;66681;39167;62725;13286;15879;25535;15856;921837
"..Novembro/2016";8556;3398;12312;3226;36531;2593;6141;29897;16978;36475;12300;13573;41382;12714;7180;60542;90277;18655;47852;188799;63153;37552;59080;12837;14405;24310;14898;875616
"..Dezembro/2016";8351;3735;12468;3063;33986;2490;6029;26779;16053;35062;12128;12946;39857;11988;6822;56915;91933;19102;46707;181907;60421;34224;57933;12290;14365;24175;15573;847302
"2017";114784;45417;175980;43810;480193;34211;77648;434911;212067;472695;163714;182296;554060;172526;93054;799944;1197470;239680;659815;2423728;836060;472069;751800;165762;190014;330721;198415;11522844
"..Janeiro/2017";8496;3773;13586;3276;39046;2805;6371;33978;17649;38292;12565;13848;43260;13591;7367;64055;96029;18856;51930;193820;64099;36215;61216;13344;15145;26543;16582;915737
"..Fevereiro/2017";8227;3471;13063;3267;35878;2449;6182;32675;16575;36136;12182;12909;39979;12246;6989;58058;88462;17403;47357;184364;61486;34638;54325;12325;14672;25473;15818;856609
"..Março/2017";10310;3804;14837;3755;42632;3163;7706;37923;19275;43538;15089;16090;48877;14983;8288;70199;104999;21606;56024;217912;74174;41317;67529;15062;17388;30469;19396;1026345
"..Abril/2017";9520;3367;14572;3572;38556;2903;6637;35061;17843;39276;13814;15230;46080;13931;8083;64546;96398;19862;52953;196965;66769;37572;59865;13808;16237;28035;16986;938441
"..Maio/2017";10111;3762;15575;3988;42574;3096;6999;38425;19171;41603;15112;16933;50134;15724;8954;72939;107825;21298;59806;215767;75263;43543;68150;15366;16957;29851;15357;1034283
"..Junho/2017";9406;3857;15137;3773;39699;2941;6820;36442;17570;39321;14122;15381;47582;14948;7817;66663;101409;20049;57219;203476;70537;40977;66518;14044;16291;27343;16987;976329
"..Julho/2017";9453;3920;14971;3727;39191;2844;6264;37396;17055;39372;13509;15387;47251;14973;8141;69826;101686;19810;58361;205153;71931;40915;66237;14156;16149;26852;15806;980336
"..Agosto/2017";10057;4025;15555;3814;41852;3091;6640;36970;17627;40411;14682;16500;49950;15624;8159;71333;105244;21386;58974;213476;74562;41769;66845;14387;16379;28932;17143;1015387
"..Setembro/2017";9594;3826;14415;3735;40184;2938;6323;35629;17131;38522;13197;15449;45123;14215;7446;65659;98688;19875;53781;200628;69960;38640;60222;13421;15806;26765;16192;947364
"..Outubro/2017";10208;3990;15447;3760;41739;2834;6243;37596;17531;40699;13478;15952;47376;14876;7729;68632;101965;20675;56454;207328;71606;40470;62825;13677;15873;28296;17063;984322
"..Novembro/2017";9734;3956;14493;3621;40430;2663;5472;36921;17552;38493;13060;14837;45048;14026;7155;65441;98685;19876;53852;196867;70193;39271;60568;13323;14800;26454;15613;942404
"..Dezembro/2017";9668;3666;14329;3522;38412;2484;5991;35895;17088;37032;12904;13780;43400;13389;6926;62593;96080;18984;53104;187972;65480;36742;57500;12849;14317;25708;15472;905287
"2018";112307;41660;172562;41517;464182;35929;61849;448747;206915;468421;160230;175490;541868;164339;85939;770107;1163261;223520;657954;2363776;818088;459126;695396;149922;181308;311849;190696;11166958
"..Janeiro/2018";9775;3963;15371;3663;40948;2744;5881;40244;17953;41071;13643;14993;45802;14019;7798;68153;102375;20349;58875;202910;70221;37623;62521;13703;15424;27719;16630;974371
"..Fevereiro/2018";9155;3523;13687;3242;37787;2540;5176;34820;15618;36757;12816;13683;41216;12574;6840;59520;90919;18195;51295;185976;64902;35756;54218;12290;14307;25480;15458;877750
"..Março/2018";10508;3964;15559;3477;42206;2797;6003;39330;18214;43070;15413;16222;47406;14852;8338;69890;106245;21186;60806;214564;75689;41157;63874;14594;17145;29211;18084;1019804
"..Abril/2018";10333;4010;15958;3416;43040;3101;6235;41060;18800;44384;15381;16313;49060;15367;8194;70990;106478;21133;60945;211939;75738;41854;64284;14534;16825;28481;17559;1025412
"..Maio/2018";10911;3948;16321;3727;43193;3139;6520;41571;19454;45198;15940;16687;50106;15691;8664;72793;106953;21860;61660;213592;75255;41296;63550;14615;17021;28692;18035;1036392
"..Junho/2018";10048;3844;15376;3813;41049;3041;5581;38360;17849;42131;14612;15644;47277;14227;8129;66763;103182;19691;60431;205042;73165;41760;62879;13933;16034;26399;16898;987158
"..Julho/2018";10061;3951;16275;3936;40477;3132;5184;39493;17887;42377;15378;16061;46998;14917;8358;71712;106812;20653;60921;207196;75941;44440;67083;14643;16426;26660;17096;1014068
"..Agosto/2018";10309;4005;16124;4046;42615;3508;5632;40781;18078;43871;15357;16368;49837;15295;8349;72031;108131;20288;62095;214141;75327;42840;66221;14537;16301;27622;17555;1031264
"..Setembro/2018";9624;3634;15320;3775;40435;3503;5275;39041;17616;40459;13524;15235;45531;14118;7425;68089;100560;19042;57054;199614;69814;39879;58153;13615;15518;26722;17404;959979
"..Outubro/2018";9002;3577;14333;3600;40000;3493;4646;39137;17548;39495;12103;14853;47872;14344;6156;66594;98412;17816;54860;204554;68689;40676;60068;12167;15742;26275;15656;951668
"..Novembro/2018";7777;2078;12125;2713;31905;2987;3605;32495;15925;31249;9593;11810;41844;11869;5041;54069;81858;14828;43900;179776;58275;33742;48079;7956;12347;23185;13699;794730
"..Dezembro/2018";4804;1163;6113;2109;20527;1944;2111;22415;11973;18359;6470;7621;28919;7066;2647;29503;51336;8479;25112;124472;35072;18103;24466;3335;8218;15403;6622;494362
"Total";344609;137004;526164;127672;1437933;104273;222960;1306261;643749;1439839;491930;543208;1651690;512645;280465;2412582;3607635;715755;1995628;7275777;2492275;1424951;2242866;494389;571985;984705;594620;34583570
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
