 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2022-2023
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Maio/2023";12047;5345;19959;4676;47020;7627;8921;42318;20170;51371;18188;20252;54105;14286;10491;80156;127074;25860;78847;233463;82277;52381;71840;18679;20364;36283;21231;1185231
"Junho/2023";10814;5329;19866;4166;44865;7590;8517;41029;19047;47244;17255;18843;51595;13543;9648;74240;119710;24409;74088;220900;78024;48568;68119;17223;19190;33918;19264;1117004
"Julho/2023";10857;5149;19550;4427;43108;3677;8261;40252;19296;46044;17465;19734;52414;14476;9992;78177;121239;23766;74690;220499;77292;49292;68555;17945;19835;34237;19725;1119954
"Agosto/2023";11849;5319;18705;4510;45468;3890;8398;40843;19880;47582;18642;20794;55524;14783;10310;80056;125324;25522;77881;231036;81599;51727;70820;17876;20068;35793;21011;1165210
"Setembro/2023";10446;4809;15217;3285;43817;3581;8305;38810;19428;44280;16766;18738;51506;13932;9364;72365;117768;23545;72431;213768;76763;47205;63399;16711;18309;33705;19487;1077740
"Outubro/2023";9085;4699;15040;557;43191;3817;5813;36795;18509;42247;15418;18604;52078;13217;7216;68502;112570;21887;69877;211663;70916;45465;63459;13648;16614;32463;18891;1032241
"Novembro/2023";6990;4110;12562;254;37179;2953;4433;31897;15360;35396;13952;15459;47160;11099;5220;56583;97492;17679;58750;189877;60873;37788;52929;9425;14070;28393;16199;884082
"Dezembro/2023";4756;2121;6925;192;23166;1779;2850;23150;9445;23702;8916;10017;32274;6557;3518;34476;61353;10931;37577;141217;37348;20866;28524;4370;9413;18396;9986;573825
"Total";249610;109329;423621;91967;1028426;98163;184347;957134;436920;1078705;391188;426930;1208794;320563;222753;1722844;2772562;551684;1666146;5096877;1789473;1113185;1573123;401807;431438;776159;467421;25591169
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
